DATE,AZNA
2016-01-01,2672.4
2016-02-01,2682.1
2016-03-01,2687.9
2016-04-01,2696.3
2016-05-01,2701.8
2016-06-01,2697.8
2016-07-01,2717.5
2016-08-01,2718.9
2016-09-01,2729.9
2016-10-01,2731.5
2016-11-01,2732.0
2016-12-01,2737.7
2017-01-01,2740.6
2017-02-01,2749.1
2017-03-01,2757.2
2017-04-01,2765.6
2017-05-01,2768.5
2017-06-01,2779.0
2017-07-01,2779.0
2017-08-01,2784.2
2017-09-01,2795.6
2017-10-01,2798.5
2017-11-01,2802.0
2017-12-01,2809.6
2018-01-01,2817.0
2018-02-01,2829.0
2018-03-01,2839.2
2018-04-01,2838.8
2018-05-01,2846.9
2018-06-01,2853.4
2018-07-01,2859.1
2018-08-01,2866.3
2018-09-01,2879.0
2018-10-01,2882.3
2018-11-01,2890.0
2018-12-01,2895.7
2019-01-01,2906.0
2019-02-01,2911.9
2019-03-01,2919.7
2019-04-01,2926.0
2019-05-01,2932.5
2019-06-01,2932.0
2019-07-01,2937.1
2019-08-01,2958.5
2019-09-01,2962.4
2019-10-01,2966.2
2019-11-01,2974.0
2019-12-01,2985.3
2020-01-01,2987.8
2020-02-01,2993.7
2020-03-01,2979.6
2020-04-01,2655.8
2020-05-01,2740.4
2020-06-01,2807.4
2020-07-01,2789.6
2020-08-01,2819.2
2020-09-01,2839.4
2020-10-01,2864.2
2020-11-01,2880.4
2020-12-01,2885.4
2021-01-01,2892.6
2021-02-01,2905.0
2021-03-01,2924.0
2021-04-01,2932.7
2021-05-01,2947.8
2021-06-01,2967.4
2021-07-01,2984.8
2021-08-01,2991.4
2021-09-01,3006.2
2021-10-01,3021.7
2021-11-01,3028.8
2021-12-01,3041.5
2022-01-01,3047.5
2022-02-01,3069.0
2022-03-01,3076.4
2022-04-01,3088.9
2022-05-01,3094.7
2022-06-01,3091.7
2022-07-01,3101.9
2022-08-01,3106.3
2022-09-01,3113.0
2022-10-01,3113.0
2022-11-01,3123.9
2022-12-01,3122.6
