DATE,MEDSQUFEEAZ
2016-07-01,2089.0
2016-08-01,2072.0
2016-09-01,2073.0
2016-10-01,2070.0
2016-11-01,2052.0
2016-12-01,2038.0
2017-01-01,2037.0
2017-02-01,2059.0
2017-03-01,2095.0
2017-04-01,2119.0
2017-05-01,2133.0
2017-06-01,2129.0
2017-07-01,2107.0
2017-08-01,2099.0
2017-09-01,2083.0
2017-10-01,2061.0
2017-11-01,2057.0
2017-12-01,2055.0
2018-01-01,2062.0
2018-02-01,2086.0
2018-03-01,2122.0
2018-04-01,2128.0
2018-05-01,2129.0
2018-06-01,2109.0
2018-07-01,2099.0
2018-08-01,2082.0
2018-09-01,2069.0
2018-10-01,2059.0
2018-11-01,2056.0
2018-12-01,2045.0
2019-01-01,2044.0
2019-02-01,2056.0
2019-03-01,2089.0
2019-04-01,2111.0
2019-05-01,2106.0
2019-06-01,2122.0
2019-07-01,2118.0
2019-08-01,2121.0
2019-09-01,2119.0
2019-10-01,2117.0
2019-11-01,2100.0
2019-12-01,2088.0
2020-01-01,2091.0
2020-02-01,2100.0
2020-03-01,2092.0
2020-04-01,2027.0
2020-05-01,2039.0
2020-06-01,2112.0
2020-07-01,2104.0
2020-08-01,2083.0
2020-09-01,2047.0
2020-10-01,2022.0
2020-11-01,1982.0
2020-12-01,1957.0
2021-01-01,1954.0
2021-02-01,1951.0
2021-03-01,1950.0
2021-04-01,1948.0
2021-05-01,1955.0
2021-06-01,1957.0
2021-07-01,1940.0
2021-08-01,1947.0
2021-09-01,1932.0
2021-10-01,1947.0
2021-11-01,1943.0
2021-12-01,1927.0
2022-01-01,1930.0
2022-02-01,1928.0
2022-03-01,1909.0
2022-04-01,1917.0
2022-05-01,1930.0
2022-06-01,1929.0
2022-07-01,1909.0
2022-08-01,1888.0
2022-09-01,1874.0
2022-10-01,1879.0
2022-11-01,1878.0
2022-12-01,1862.0
