DATE,CANA
2016-01-01,16307.8
2016-02-01,16349.8
2016-03-01,16329.3
2016-04-01,16429.0
2016-05-01,16452.8
2016-06-01,16437.0
2016-07-01,16518.9
2016-08-01,16531.0
2016-09-01,16564.2
2016-10-01,16588.3
2016-11-01,16610.8
2016-12-01,16630.4
2017-01-01,16639.8
2017-02-01,16671.2
2017-03-01,16717.2
2017-04-01,16744.7
2017-05-01,16799.3
2017-06-01,16841.0
2017-07-01,16842.6
2017-08-01,16862.2
2017-09-01,16909.7
2017-10-01,16933.6
2017-11-01,16958.5
2017-12-01,17010.6
2018-01-01,17045.6
2018-02-01,17079.7
2018-03-01,17091.8
2018-04-01,17104.7
2018-05-01,17126.6
2018-06-01,17169.9
2018-07-01,17164.0
2018-08-01,17201.7
2018-09-01,17236.7
2018-10-01,17261.6
2018-11-01,17275.1
2018-12-01,17322.7
2019-01-01,17322.2
2019-02-01,17327.2
2019-03-01,17351.2
2019-04-01,17359.5
2019-05-01,17386.5
2019-06-01,17423.6
2019-07-01,17442.2
2019-08-01,17469.6
2019-09-01,17484.4
2019-10-01,17498.5
2019-11-01,17554.2
2019-12-01,17569.1
2020-01-01,17650.0
2020-02-01,17672.6
2020-03-01,17480.0
2020-04-01,14918.0
2020-05-01,15106.0
2020-06-01,15612.8
2020-07-01,15681.0
2020-08-01,15773.5
2020-09-01,15924.6
2020-10-01,16119.0
2020-11-01,16191.7
2020-12-01,16097.1
2021-01-01,16007.4
2021-02-01,16213.8
2021-03-01,16331.2
2021-04-01,16488.4
2021-05-01,16615.5
2021-06-01,16679.3
2021-07-01,16880.4
2021-08-01,16980.2
2021-09-01,16979.1
2021-10-01,17200.7
2021-11-01,17268.7
2021-12-01,17331.1
2022-01-01,17366.9
2022-02-01,17483.1
2022-03-01,17535.7
2022-04-01,17612.0
2022-05-01,17660.7
2022-06-01,17692.5
2022-07-01,17752.5
2022-08-01,17785.0
2022-09-01,17806.2
2022-10-01,17869.6
2022-11-01,17889.6
2022-12-01,17869.1
