DATE,AVELISPRIIL
2016-07-01,349030.0
2016-08-01,346778.0
2016-09-01,346458.0
2016-10-01,345499.0
2016-11-01,340916.0
2016-12-01,333963.0
2017-01-01,336038.0
2017-02-01,351123.0
2017-03-01,363971.0
2017-04-01,369689.0
2017-05-01,373542.0
2017-06-01,373658.0
2017-07-01,370015.0
2017-08-01,361093.0
2017-09-01,356296.0
2017-10-01,357213.0
2017-11-01,352158.0
2017-12-01,343206.0
2018-01-01,344525.0
2018-02-01,358859.0
2018-03-01,375880.0
2018-04-01,382964.0
2018-05-01,383285.0
2018-06-01,380449.0
2018-07-01,373903.0
2018-08-01,367578.0
2018-09-01,362721.0
2018-10-01,359883.0
2018-11-01,358270.0
2018-12-01,345916.0
2019-01-01,345620.0
2019-02-01,364237.0
2019-03-01,378562.0
2019-04-01,389019.0
2019-05-01,389292.0
2019-06-01,386362.0
2019-07-01,380407.0
2019-08-01,373896.0
2019-09-01,368520.0
2019-10-01,364369.0
2019-11-01,357176.0
2019-12-01,347716.0
2020-01-01,349648.0
2020-02-01,368911.0
2020-03-01,379028.0
2020-04-01,371830.0
2020-05-01,387001.0
2020-06-01,398459.0
2020-07-01,405686.0
2020-08-01,412922.0
2020-09-01,416287.0
2020-10-01,413683.0
2020-11-01,405327.0
2020-12-01,396913.0
2021-01-01,404516.0
2021-02-01,432345.0
2021-03-01,448360.0
2021-04-01,459506.0
2021-05-01,462706.0
2021-06-01,459106.0
2021-07-01,445559.0
2021-08-01,428488.0
2021-09-01,418978.0
2021-10-01,416693.0
2021-11-01,407506.0
2021-12-01,398983.0
2022-01-01,402649.0
2022-02-01,420536.0
2022-03-01,440383.0
2022-04-01,450339.0
2022-05-01,465278.0
2022-06-01,456283.0
2022-07-01,443270.0
2022-08-01,438146.0
2022-09-01,436687.0
2022-10-01,428240.0
2022-11-01,420469.0
2022-12-01,407642.0
