DATE,ILNA
2016-01-01,6000.4
2016-02-01,6000.5
2016-03-01,5998.6
2016-04-01,6010.3
2016-05-01,5999.6
2016-06-01,5998.7
2016-07-01,6014.5
2016-08-01,6013.2
2016-09-01,6025.9
2016-10-01,6032.0
2016-11-01,6033.5
2016-12-01,6029.3
2017-01-01,6023.7
2017-02-01,6035.5
2017-03-01,6040.9
2017-04-01,6042.6
2017-05-01,6047.7
2017-06-01,6061.2
2017-07-01,6053.7
2017-08-01,6068.4
2017-09-01,6073.3
2017-10-01,6069.7
2017-11-01,6073.8
2017-12-01,6083.6
2018-01-01,6073.6
2018-02-01,6089.6
2018-03-01,6105.9
2018-04-01,6084.8
2018-05-01,6094.6
2018-06-01,6104.7
2018-07-01,6109.0
2018-08-01,6111.8
2018-09-01,6116.2
2018-10-01,6109.9
2018-11-01,6115.6
2018-12-01,6111.5
2019-01-01,6107.9
2019-02-01,6106.0
2019-03-01,6111.1
2019-04-01,6125.9
2019-05-01,6131.4
2019-06-01,6142.3
2019-07-01,6134.7
2019-08-01,6132.5
2019-09-01,6131.5
2019-10-01,6126.9
2019-11-01,6125.9
2019-12-01,6127.7
2020-01-01,6145.4
2020-02-01,6138.0
2020-03-01,6082.1
2020-04-01,5320.0
2020-05-01,5339.0
2020-06-01,5458.4
2020-07-01,5570.5
2020-08-01,5644.7
2020-09-01,5670.0
2020-10-01,5692.1
2020-11-01,5666.4
2020-12-01,5652.1
2021-01-01,5686.1
2021-02-01,5716.4
2021-03-01,5750.3
2021-04-01,5758.0
2021-05-01,5768.2
2021-06-01,5797.1
2021-07-01,5825.2
2021-08-01,5833.3
2021-09-01,5851.3
2021-10-01,5891.4
2021-11-01,5919.9
2021-12-01,5940.2
2022-01-01,5942.0
2022-02-01,5969.7
2022-03-01,5988.8
2022-04-01,5995.1
2022-05-01,6009.4
2022-06-01,6019.9
2022-07-01,6063.8
2022-08-01,6070.0
2022-09-01,6079.6
2022-10-01,6080.6
2022-11-01,6096.4
2022-12-01,6091.6
