DATE,MEDSQUFEETX
2016-07-01,2322.0
2016-08-01,2307.0
2016-09-01,2301.0
2016-10-01,2293.0
2016-11-01,2276.0
2016-12-01,2256.0
2017-01-01,2244.0
2017-02-01,2252.0
2017-03-01,2285.0
2017-04-01,2315.0
2017-05-01,2331.0
2017-06-01,2337.0
2017-07-01,2327.0
2017-08-01,2313.0
2017-09-01,2298.0
2017-10-01,2289.0
2017-11-01,2280.0
2017-12-01,2264.0
2018-01-01,2250.0
2018-02-01,2259.0
2018-03-01,2296.0
2018-04-01,2323.0
2018-05-01,2342.0
2018-06-01,2347.0
2018-07-01,2329.0
2018-08-01,2303.0
2018-09-01,2281.0
2018-10-01,2261.0
2018-11-01,2249.0
2018-12-01,2233.0
2019-01-01,2212.0
2019-02-01,2221.0
2019-03-01,2245.0
2019-04-01,2274.0
2019-05-01,2292.0
2019-06-01,2295.0
2019-07-01,2282.0
2019-08-01,2260.0
2019-09-01,2243.0
2019-10-01,2231.0
2019-11-01,2217.0
2019-12-01,2188.0
2020-01-01,2170.0
2020-02-01,2175.0
2020-03-01,2184.0
2020-04-01,2184.0
2020-05-01,2213.0
2020-06-01,2234.0
2020-07-01,2230.0
2020-08-01,2214.0
2020-09-01,2193.0
2020-10-01,2162.0
2020-11-01,2136.0
2020-12-01,2102.0
2021-01-01,2075.0
2021-02-01,2057.0
2021-03-01,2061.0
2021-04-01,2067.0
2021-05-01,2090.0
2021-06-01,2094.0
2021-07-01,2097.0
2021-08-01,2091.0
2021-09-01,2077.0
2021-10-01,2066.0
2021-11-01,2052.0
2021-12-01,2036.0
2022-01-01,2008.0
2022-02-01,1996.0
2022-03-01,2003.0
2022-04-01,2024.0
2022-05-01,2067.0
2022-06-01,2099.0
2022-07-01,2098.0
2022-08-01,2080.0
2022-09-01,2067.0
2022-10-01,2058.0
2022-11-01,2050.0
2022-12-01,2037.0
2023-01-01,2019.0
2023-02-01,2011.0
2023-03-01,2019.0
2023-04-01,2042.0
2023-05-01,2060.0
2023-06-01,2072.0
2023-07-01,2075.0
2023-08-01,2067.0
2023-09-01,2043.0
2023-10-01,2027.0
