DATE,TXNA
2010-01-01,10275.3
2010-02-01,10278.3
2010-03-01,10311.8
2010-04-01,10332.8
2010-05-01,10394.0
2010-06-01,10393.3
2010-07-01,10379.5
2010-08-01,10393.7
2010-09-01,10396.3
2010-10-01,10447.6
2010-11-01,10451.5
2010-12-01,10471.4
2011-01-01,10490.1
2011-02-01,10493.3
2011-03-01,10535.1
2011-04-01,10571.5
2011-05-01,10582.1
2011-06-01,10603.7
2011-07-01,10636.9
2011-08-01,10652.5
2011-09-01,10673.2
2011-10-01,10667.5
2011-11-01,10686.1
2011-12-01,10708.2
2012-01-01,10752.8
2012-02-01,10783.2
2012-03-01,10821.9
2012-04-01,10847.6
2012-05-01,10880.1
2012-06-01,10909.6
2012-07-01,10925.3
2012-08-01,10961.1
2012-09-01,10988.9
2012-10-01,11019.2
2012-11-01,11049.4
2012-12-01,11075.4
2013-01-01,11078.3
2013-02-01,11138.4
2013-03-01,11168.6
2013-04-01,11183.8
2013-05-01,11199.3
2013-06-01,11231.6
2013-07-01,11262.2
2013-08-01,11282.1
2013-09-01,11315.2
2013-10-01,11335.2
2013-11-01,11367.1
2013-12-01,11375.6
2014-01-01,11403.8
2014-02-01,11431.4
2014-03-01,11471.8
2014-04-01,11519.9
2014-05-01,11555.0
2014-06-01,11586.1
2014-07-01,11613.7
2014-08-01,11637.9
2014-09-01,11672.3
2014-10-01,11716.4
2014-11-01,11756.3
2014-12-01,11792.0
2015-01-01,11804.9
2015-02-01,11811.6
2015-03-01,11805.3
2015-04-01,11808.5
2015-05-01,11841.0
2015-06-01,11864.6
2015-07-01,11883.9
2015-08-01,11902.6
2015-09-01,11909.9
2015-10-01,11919.0
2015-11-01,11925.1
2015-12-01,11941.9
2016-01-01,11959.6
2016-02-01,11967.2
2016-03-01,11959.5
2016-04-01,11978.8
2016-05-01,11991.5
2016-06-01,11978.7
2016-07-01,12030.8
2016-08-01,12041.0
2016-09-01,12066.3
2016-10-01,12063.4
2016-11-01,12077.0
2016-12-01,12092.9
2017-01-01,12130.8
2017-02-01,12143.7
2017-03-01,12185.5
2017-04-01,12194.3
2017-05-01,12216.8
2017-06-01,12242.0
2017-07-01,12230.3
2017-08-01,12247.0
2017-09-01,12253.1
2017-10-01,12294.0
2017-11-01,12313.5
2017-12-01,12341.9
2018-01-01,12356.5
2018-02-01,12395.0
2018-03-01,12439.8
2018-04-01,12449.8
2018-05-01,12488.6
2018-06-01,12526.1
2018-07-01,12547.7
2018-08-01,12579.6
2018-09-01,12592.1
2018-10-01,12614.2
2018-11-01,12632.8
2018-12-01,12658.6
2019-01-01,12680.6
2019-02-01,12712.5
2019-03-01,12728.8
2019-04-01,12752.1
2019-05-01,12781.0
2019-06-01,12812.9
2019-07-01,12838.3
2019-08-01,12864.2
2019-09-01,12879.8
2019-10-01,12884.3
2019-11-01,12911.3
2019-12-01,12917.8
2020-01-01,12950.3
2020-02-01,12971.3
2020-03-01,12907.9
2020-04-01,11510.1
2020-05-01,11762.1
2020-06-01,11997.3
2020-07-01,12002.5
2020-08-01,12102.1
2020-09-01,12177.5
2020-10-01,12252.5
2020-11-01,12302.2
2020-12-01,12347.8
2021-01-01,12393.7
2021-02-01,12358.3
2021-03-01,12489.2
2021-04-01,12532.2
2021-05-01,12604.6
2021-06-01,12674.2
2021-07-01,12770.7
2021-08-01,12809.9
2021-09-01,12860.6
2021-10-01,13002.6
2021-11-01,13046.3
2021-12-01,13104.1
2022-01-01,13128.2
2022-02-01,13220.5
2022-03-01,13264.1
2022-04-01,13336.5
2022-05-01,13388.9
2022-06-01,13402.1
2022-07-01,13527.4
2022-08-01,13577.1
2022-09-01,13613.6
2022-10-01,13656.7
2022-11-01,13687.8
2022-12-01,13733.7
