DATE,TXSTHPI
2016-01-01,277.01
2016-04-01,284.1
2016-07-01,289.87
2016-10-01,292.83
2017-01-01,296.76
2017-04-01,305.63
2017-07-01,310.08
2017-10-01,312.85
2018-01-01,317.1
2018-04-01,324.09
2018-07-01,328.25
2018-10-01,329.29
2019-01-01,333.19
2019-04-01,339.12
2019-07-01,343.09
2019-10-01,345.66
2020-01-01,349.4
2020-04-01,351.99
2020-07-01,357.31
2020-10-01,365.52
2021-01-01,374.19
2021-04-01,396.09
2021-07-01,421.33
2021-10-01,438.89
2022-01-01,459.65
2022-04-01,492.95
2022-07-01,503.65
2022-10-01,500.05
